Scenario.name,css_2,css_3,css_4,right_bica,right_brita2,tph_2,tph_3,tph_4,tph_bica,tph_brita2,tph_brita1,tph_bmeia,tph_pedrisco,tph_po,percAbaixo32mm_rcz,efic_2dPN4,percAbaixo5mm_pedrisco,capC2_capC3,capBT4_alimPP4,RR_BT2,fcap_BT2,RR_BT3,fcap_BT3,RR_BT4,fcap_BT4,carga_BT2,carga_BT3,carga_BT4,tph_total
Scenario 0050,30,15,14,0,100,478.3940744,487.4236316,114.2773971,80.9,92,105.5,34.6,113.6,170,59.42620876,83.58620242,20.15517134,0.981474929,1.332440791,4.518258816,1.088248617,3.804857013,0.862959706,3.36818488,0.902233248,99.99997753,100.0000614,99.98720503,596.6
Scenario 0051,30,15,14,100,0,478.3940744,580.1984828,115.1975994,0,0,129.4,40.6,132.8,180.5,66.25991085,81.85541182,21.01279059,0.824535204,0.543444806,4.518258816,1.088248617,3.681505697,0.864708804,2.35308127,0.909514721,99.99997753,99.99982656,99.98540547,483.3
Scenario 0052,30,15,14,100,100,478.3940744,580.1984828,114.3243707,0,112.8,125.9,40.1,133.8,183.9,66.25991085,81.83252038,21.34340123,0.824535204,1.169265351,4.518258816,1.088248617,3.681505697,0.864708804,3.151967234,0.902605032,99.99997753,99.99982656,99.98710295,596.5
Scenario 0053,30,15,15,0,0,478.3940744,487.4236316,122.6634909,80.9,0,115,34.9,111.1,165.6,59.42620876,83.73532908,19.77287242,0.981474929,0.6692349,4.518258816,1.088248617,3.804857013,0.862959706,2.145525118,0.920148776,99.99997753,100.0000614,99.97324493,507.5
Scenario 0054,30,15,15,0,100,478.3940744,487.4236316,120.2824877,80.9,94.7,109.9,34.5,112.5,169.6,59.42620876,83.67317214,20.17244671,0.981474929,1.393400109,4.518258816,1.088248617,3.804857013,0.862959706,3.095443812,0.902233248,99.99997753,100.0000614,99.9793009,602.1
Scenario 0055,30,15,15,100,0,478.3940744,580.1984828,121.3515632,0,0,134.9,40.2,130.9,179.4,66.25991085,81.97642593,20.9933562,0.824535204,0.561861093,4.518258816,1.088248617,3.681505697,0.864708804,2.103427015,0.910278887,99.99997753,99.99982656,99.97638442,485.4
Scenario 0056,30,15,15,100,100,478.3940744,580.1984828,120.3631191,0,115.5,130.3,40,132.7,183.5,66.25991085,81.91428211,21.3562178,0.824535204,1.223886433,4.518258816,1.088248617,3.681505697,0.864708804,2.891094672,0.90284026,99.99997753,99.99982656,99.97905734,602
Scenario 0057,30,15,16,0,0,478.3940744,487.4236316,128.7825194,80.9,0,119.8,34.1,108.9,164.2,59.42620876,83.87970813,19.75595744,0.981474929,0.681342887,4.518258816,1.088248617,3.804857013,0.862959706,1.942299755,0.920171439,99.99997753,100.0000614,99.95980266,507.9
Scenario 0058,30,15,16,0,100,478.3940744,487.4236316,126.3053554,80.9,98.4,113.8,34,111.1,169,59.42620876,83.76343879,20.19233512,0.981474929,1.447264104,4.518258816,1.088248617,3.804857013,0.862959706,2.78635454,0.902398686,99.99997753,100.0000614,99.96789172,607.2
Scenario 0059,30,15,16,100,0,478.3940744,580.1984828,127.3010748,0,0,139.6,39.4,128.6,177.9,66.25991085,82.10717571,20.97515404,0.824535204,0.574194134,4.518258816,1.088248617,3.681505697,0.864708804,1.905650228,0.909542694,99.99997753,99.99982656,99.96459322,485.5
Scenario 0060,30,15,16,100,100,478.3940744,580.1984828,126.4136795,0,119.3,134.2,39.4,131.3,182.8,66.25991085,81.99871732,21.37108259,0.824535204,1.272816721,4.518258816,1.088248617,3.681505697,0.864708804,2.600893192,0.90317462,99.99997753,99.99982656,99.96766987,607
Scenario 0061,30,15,17,0,0,478.3940744,487.4236316,131.6375335,80.9,0,123,33,105.7,161.8,59.42620876,84.08485754,19.70451479,0.981474929,0.673733428,4.518258816,1.088248617,3.804857013,0.862959706,1.789883767,0.918762883,99.99997753,100.0000614,99.95265886,504.4
